Police Action,District,N,Number of Records,Period,Station,Breach Type,Country,Alert Level,Area
Written Warning,Bay Of Plenty,3,1,COVID-19,Edgecumbe,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,2,1,COVID-19,Kawerau,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,9,1,COVID-19,Opotiki,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,1,1,COVID-19,Taneatua,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,1,1,COVID-19,Te Kaha,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,20,1,COVID-19,Whakatane,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,32,1,COVID-19,Rotorua,Health Act Breach,New Zealand,4,Rotorua Area
Written Warning,Bay Of Plenty,2,1,COVID-19,Mangakino,Health Act Breach,New Zealand,4,Taupo Area
Written Warning,Bay Of Plenty,15,1,COVID-19,Putaruru,Health Act Breach,New Zealand,4,Taupo Area
Written Warning,Bay Of Plenty,42,1,COVID-19,Taupo,Health Act Breach,New Zealand,4,Taupo Area
Written Warning,Bay Of Plenty,26,1,COVID-19,Tokoroa,Health Act Breach,New Zealand,4,Taupo Area
Written Warning,Bay Of Plenty,8,1,COVID-19,Turangi,Health Act Breach,New Zealand,4,Taupo Area
Written Warning,Bay Of Plenty,7,1,COVID-19,Katikati,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Written Warning,Bay Of Plenty,19,1,COVID-19,Mount Maunganui,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Written Warning,Bay Of Plenty,12,1,COVID-19,Papamoa,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Written Warning,Bay Of Plenty,27,1,COVID-19,Tauranga,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Written Warning,Bay Of Plenty,11,1,COVID-19,Tauranga South,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Written Warning,Bay Of Plenty,4,1,COVID-19,Te Puke,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Written Warning,Canterbury,73,1,COVID-19,Christchurch,Health Act Breach,New Zealand,4,Canterbury Metro Area
Written Warning,Canterbury,59,1,COVID-19,Christchurch South,Health Act Breach,New Zealand,4,Canterbury Metro Area
Written Warning,Canterbury,29,1,COVID-19,Hornby,Health Act Breach,New Zealand,4,Canterbury Metro Area
Written Warning,Canterbury,5,1,COVID-19,Lyttelton,Health Act Breach,New Zealand,4,Canterbury Metro Area
Written Warning,Canterbury,21,1,COVID-19,New Brighton,Health Act Breach,New Zealand,4,Canterbury Metro Area
Written Warning,Canterbury,48,1,COVID-19,Papanui,Health Act Breach,New Zealand,4,Canterbury Metro Area
Written Warning,Canterbury,6,1,COVID-19,Sumner,Health Act Breach,New Zealand,4,Canterbury Metro Area
Written Warning,Canterbury,4,1,COVID-19,Cheviot,Health Act Breach,New Zealand,4,Canterbury Rural Area
Written Warning,Canterbury,3,1,COVID-19,Darfield,Health Act Breach,New Zealand,4,Canterbury Rural Area
Written Warning,Canterbury,6,1,COVID-19,Kaiapoi,Health Act Breach,New Zealand,4,Canterbury Rural Area
Written Warning,Canterbury,4,1,COVID-19,Leeston,Health Act Breach,New Zealand,4,Canterbury Rural Area
Written Warning,Canterbury,8,1,COVID-19,Lincoln,Health Act Breach,New Zealand,4,Canterbury Rural Area
Written Warning,Canterbury,7,1,COVID-19,Rangiora,Health Act Breach,New Zealand,4,Canterbury Rural Area
Written Warning,Canterbury,10,1,COVID-19,Rolleston,Health Act Breach,New Zealand,4,Canterbury Rural Area
Written Warning,Canterbury,26,1,COVID-19,Ashburton,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Written Warning,Canterbury,8,1,COVID-19,Methven,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Written Warning,Canterbury,4,1,COVID-19,Rakaia,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Written Warning,Canterbury,1,1,COVID-19,Temuka,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Written Warning,Canterbury,26,1,COVID-19,Timaru,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Written Warning,Canterbury,4,1,COVID-19,Twizel,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Written Warning,Central,1,1,COVID-19,Ashhurst,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,2,1,COVID-19,Awapuni,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,22,1,COVID-19,Dannevirke,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,3,1,COVID-19,Feilding,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,2,1,COVID-19,Foxton,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,5,1,COVID-19,Foxton Beach,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,9,1,COVID-19,Highbury,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,12,1,COVID-19,Levin,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,2,1,COVID-19,Norsewood,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,4,1,COVID-19,Otaki,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,1,1,COVID-19,Pahiatua,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,17,1,COVID-19,Palmerston North,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,3,1,COVID-19,Rossmont Cpc,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,2,1,COVID-19,Woodville,Health Act Breach,New Zealand,4,Manawatu Area
Written Warning,Central,17,1,COVID-19,Bell Block,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,6,1,COVID-19,Eltham,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,25,1,COVID-19,Fitzroy Cpc,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,10,1,COVID-19,Hawera,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,6,1,COVID-19,Inglewood,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,1,1,COVID-19,Manaia,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,8,1,COVID-19,Mokau,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,44,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,1,1,COVID-19,Patea,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,12,1,COVID-19,Stratford,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,15,1,COVID-19,Waitara,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,27,1,COVID-19,Westown,Health Act Breach,New Zealand,4,Taranaki Area
Written Warning,Central,4,1,COVID-19,Bulls,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,2,1,COVID-19,Hunterville,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,4,1,COVID-19,Marton,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,3,1,COVID-19,National Park,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,3,1,COVID-19,Ohakune,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,2,1,COVID-19,Raetihi,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,3,1,COVID-19,Taihape,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,14,1,COVID-19,Taumarunui,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,8,1,COVID-19,Waiouru,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,1,1,COVID-19,Waverley,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Central,55,1,COVID-19,Whanganui,Health Act Breach,New Zealand,4,Whanganui Area
Written Warning,Counties/Manukau,376,1,COVID-19,Manurewa,Health Act Breach,New Zealand,4,Counties Manukau Central Area
Written Warning,Counties/Manukau,15,1,COVID-19,Beachlands Ccb,Health Act Breach,New Zealand,4,Counties Manukau East Area
Written Warning,Counties/Manukau,16,1,COVID-19,Howick,Health Act Breach,New Zealand,4,Counties Manukau East Area
Written Warning,Counties/Manukau,52,1,COVID-19,Otara,Health Act Breach,New Zealand,4,Counties Manukau East Area
Written Warning,Counties/Manukau,83,1,COVID-19,Papakura,Health Act Breach,New Zealand,4,Counties Manukau South Area
Written Warning,Counties/Manukau,38,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,4,Counties Manukau South Area
Written Warning,Counties/Manukau,13,1,COVID-19,Tuakau,Health Act Breach,New Zealand,4,Counties Manukau South Area
Written Warning,Counties/Manukau,25,1,COVID-19,Waiuku,Health Act Breach,New Zealand,4,Counties Manukau South Area
Written Warning,Counties/Manukau,3,1,COVID-19,Auckland Airport,Health Act Breach,New Zealand,4,Counties Manukau West Area
Written Warning,Counties/Manukau,126,1,COVID-19,Mangere,Health Act Breach,New Zealand,4,Counties Manukau West Area
Written Warning,Counties/Manukau,52,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,4,Counties Manukau West Area
Written Warning,Counties/Manukau,54,1,COVID-19,Papatoetoe,Health Act Breach,New Zealand,4,Counties Manukau West Area
Written Warning,Eastern,6,1,COVID-19,Bay View,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,2,1,COVID-19,Clive,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,9,1,COVID-19,Flaxmere,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,25,1,COVID-19,Hastings,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,1,1,COVID-19,Havelock North,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,29,1,COVID-19,Napier,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,11,1,COVID-19,Taradale,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,3,1,COVID-19,Waipawa,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,14,1,COVID-19,Waipukurau,Health Act Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,86,1,COVID-19,Gisborne,Health Act Breach,New Zealand,4,Tairawhiti Area
Written Warning,Eastern,2,1,COVID-19,Te Karaka,Health Act Breach,New Zealand,4,Tairawhiti Area
Written Warning,Eastern,1,1,COVID-19,Tokomaru Bay,Health Act Breach,New Zealand,4,Tairawhiti Area
Written Warning,Eastern,7,1,COVID-19,Tolaga Bay,Health Act Breach,New Zealand,4,Tairawhiti Area
Written Warning,Eastern,14,1,COVID-19,Wairoa,Health Act Breach,New Zealand,4,Tairawhiti Area
Written Warning,Northland,12,1,COVID-19,Kaikohe,Health Act Breach,New Zealand,4,Far North Area
Written Warning,Northland,2,1,COVID-19,Kaitaia,Health Act Breach,New Zealand,4,Far North Area
Written Warning,Northland,9,1,COVID-19,Kawakawa,Health Act Breach,New Zealand,4,Far North Area
Written Warning,Northland,10,1,COVID-19,Kerikeri,Health Act Breach,New Zealand,4,Far North Area
Written Warning,Northland,5,1,COVID-19,Kohukohu,Health Act Breach,New Zealand,4,Far North Area
Written Warning,Northland,3,1,COVID-19,Mangonui,Health Act Breach,New Zealand,4,Far North Area
Written Warning,Northland,1,1,COVID-19,Rawene,Health Act Breach,New Zealand,4,Far North Area
Written Warning,Northland,1,1,COVID-19,Dargaville,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Northland,3,1,COVID-19,Hikurangi,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Northland,5,1,COVID-19,Kamo Cpc,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Northland,2,1,COVID-19,Onerahi Cpc,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Northland,4,1,COVID-19,Ruakaka,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Northland,1,1,COVID-19,Ruawai,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Northland,2,1,COVID-19,Waipu,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Northland,48,1,COVID-19,Whangarei,Health Act Breach,New Zealand,4,Whangarei Area
Written Warning,Southern,6,1,COVID-19,Balclutha,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,13,1,COVID-19,Dunedin Central,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,10,1,COVID-19,Dunedin North,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,3,1,COVID-19,Dunedin South,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Green Island,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,2,1,COVID-19,Hampden,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,3,1,COVID-19,Kaikorai Valley,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,2,1,COVID-19,Lawrence,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,5,1,COVID-19,Milton,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,5,1,COVID-19,Mosgiel,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,13,1,COVID-19,Oamaru,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Omarama,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,3,1,COVID-19,Palmerston,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Waikouaiti,Health Act Breach,New Zealand,4,Otago Coastal Area
Written Warning,Southern,18,1,COVID-19,Alexandra,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,12,1,COVID-19,Cromwell,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,3,1,COVID-19,Omakau,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,50,1,COVID-19,Queenstown,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,9,1,COVID-19,Ranfurly,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,2,1,COVID-19,Roxburgh,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,22,1,COVID-19,Wanaka,Health Act Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,18,1,COVID-19,Gore,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,25,1,COVID-19,Invercargill Central,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,4,1,COVID-19,Lumsden,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,4,1,COVID-19,Mataura,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,1,1,COVID-19,Ohai,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,3,1,COVID-19,Riversdale,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,12,1,COVID-19,Te Anau,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,3,1,COVID-19,Winton,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Southern,4,1,COVID-19,Wyndham,Health Act Breach,New Zealand,4,Southland Area
Written Warning,Tasman,22,1,COVID-19,Blenheim,Health Act Breach,New Zealand,4,Marlborough Area
Written Warning,Tasman,13,1,COVID-19,Kaikoura,Health Act Breach,New Zealand,4,Marlborough Area
Written Warning,Tasman,8,1,COVID-19,Picton,Health Act Breach,New Zealand,4,Marlborough Area
Written Warning,Tasman,22,1,COVID-19,Motueka,Health Act Breach,New Zealand,4,Nelson Bays Area
Written Warning,Tasman,6,1,COVID-19,Murchison,Health Act Breach,New Zealand,4,Nelson Bays Area
Written Warning,Tasman,66,1,COVID-19,Nelson Central,Health Act Breach,New Zealand,4,Nelson Bays Area
Written Warning,Tasman,26,1,COVID-19,Richmond,Health Act Breach,New Zealand,4,Nelson Bays Area
Written Warning,Tasman,14,1,COVID-19,Takaka,Health Act Breach,New Zealand,4,Nelson Bays Area
Written Warning,Tasman,9,1,COVID-19,Wakefield,Health Act Breach,New Zealand,4,Nelson Bays Area
Written Warning,Tasman,2,1,COVID-19,Granity,Health Act Breach,New Zealand,4,West Coast Area
Written Warning,Tasman,28,1,COVID-19,Greymouth,Health Act Breach,New Zealand,4,West Coast Area
Written Warning,Tasman,5,1,COVID-19,Hokitika,Health Act Breach,New Zealand,4,West Coast Area
Written Warning,Tasman,3,1,COVID-19,Karamea,Health Act Breach,New Zealand,4,West Coast Area
Written Warning,Tasman,5,1,COVID-19,Reefton,Health Act Breach,New Zealand,4,West Coast Area
Written Warning,Tasman,19,1,COVID-19,Westport,Health Act Breach,New Zealand,4,West Coast Area
Written Warning,Waikato,34,1,COVID-19,Hamilton Central,Health Act Breach,New Zealand,4,Hamilton City Area
Written Warning,Waikato,27,1,COVID-19,Hamilton East,Health Act Breach,New Zealand,4,Hamilton City Area
Written Warning,Waikato,22,1,COVID-19,Hamilton North,Health Act Breach,New Zealand,4,Hamilton City Area
Written Warning,Waikato,22,1,COVID-19,Hamilton West,Health Act Breach,New Zealand,4,Hamilton City Area
Written Warning,Waikato,5,1,COVID-19,Matamata,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,4,1,COVID-19,Morrinsville,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,6,1,COVID-19,Ngatea,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,4,1,COVID-19,Paeroa,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,2,1,COVID-19,Tairua,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,2,1,COVID-19,Te Aroha,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,7,1,COVID-19,Thames,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,5,1,COVID-19,Waihi,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,2,1,COVID-19,Waihi Beach,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,5,1,COVID-19,Whangamata,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,1,1,COVID-19,Whitianga,Health Act Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,6,1,COVID-19,Cambridge,Health Act Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,1,1,COVID-19,Ngaruawahia,Health Act Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,17,1,COVID-19,Otorohanga,Health Act Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,2,1,COVID-19,Raglan,Health Act Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,20,1,COVID-19,Te Awamutu,Health Act Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,3,1,COVID-19,Te Kauwhata,Health Act Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,9,1,COVID-19,Te Kuiti,Health Act Breach,New Zealand,4,Waikato West Area
Written Warning,Waitemata,1,1,COVID-19,Auckland Harbour Bridge,Health Act Breach,New Zealand,4,Auckland Motorways Area
Written Warning,Waitemata,14,1,COVID-19,Albany Cpc,Health Act Breach,New Zealand,4,Waitemata East Area
Written Warning,Waitemata,6,1,COVID-19,Browns Bay,Health Act Breach,New Zealand,4,Waitemata East Area
Written Warning,Waitemata,24,1,COVID-19,Glenfield,Health Act Breach,New Zealand,4,Waitemata East Area
Written Warning,Waitemata,16,1,COVID-19,North Shore Policing Centre,Health Act Breach,New Zealand,4,Waitemata East Area
Written Warning,Waitemata,16,1,COVID-19,Takapuna,Health Act Breach,New Zealand,4,Waitemata East Area
Written Warning,Waitemata,2,1,COVID-19,Helensville,Health Act Breach,New Zealand,4,Waitemata North Area
Written Warning,Waitemata,6,1,COVID-19,Kumeu/Huapai,Health Act Breach,New Zealand,4,Waitemata North Area
Written Warning,Waitemata,10,1,COVID-19,Mangawhai,Health Act Breach,New Zealand,4,Waitemata North Area
Written Warning,Waitemata,36,1,COVID-19,Orewa,Health Act Breach,New Zealand,4,Waitemata North Area
Written Warning,Waitemata,21,1,COVID-19,Warkworth,Health Act Breach,New Zealand,4,Waitemata North Area
Written Warning,Waitemata,15,1,COVID-19,Wellsford,Health Act Breach,New Zealand,4,Waitemata North Area
Written Warning,Waitemata,10,1,COVID-19,Whangaparaoa,Health Act Breach,New Zealand,4,Waitemata North Area
Written Warning,Waitemata,114,1,COVID-19,Henderson,Health Act Breach,New Zealand,4,Waitemata West Area
Written Warning,Waitemata,27,1,COVID-19,Massey,Health Act Breach,New Zealand,4,Waitemata West Area
Written Warning,Waitemata,11,1,COVID-19,New Lynn,Health Act Breach,New Zealand,4,Waitemata West Area
Written Warning,Wellington,28,1,COVID-19,Lower Hutt,Health Act Breach,New Zealand,4,Hutt Valley Area
Written Warning,Wellington,9,1,COVID-19,Naenae,Health Act Breach,New Zealand,4,Hutt Valley Area
Written Warning,Wellington,8,1,COVID-19,Petone,Health Act Breach,New Zealand,4,Hutt Valley Area
Written Warning,Wellington,10,1,COVID-19,Upper Hutt,Health Act Breach,New Zealand,4,Hutt Valley Area
Written Warning,Wellington,12,1,COVID-19,Wainuiomata,Health Act Breach,New Zealand,4,Hutt Valley Area
Written Warning,Wellington,30,1,COVID-19,Kapiti,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Written Warning,Wellington,9,1,COVID-19,Porirua Central,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Written Warning,Wellington,41,1,COVID-19,Waitangirua,Health Act Breach,New Zealand,4,Kapiti-Mana Area
Written Warning,Wellington,2,1,COVID-19,Carterton,Health Act Breach,New Zealand,4,Wairarapa Area
Written Warning,Wellington,4,1,COVID-19,Featherston,Health Act Breach,New Zealand,4,Wairarapa Area
Written Warning,Wellington,1,1,COVID-19,Greytown,Health Act Breach,New Zealand,4,Wairarapa Area
Written Warning,Wellington,15,1,COVID-19,Masterton,Health Act Breach,New Zealand,4,Wairarapa Area
Written Warning,Wellington,6,1,COVID-19,Chatham Islands,Health Act Breach,New Zealand,4,Wellington Area
Written Warning,Wellington,33,1,COVID-19,Johnsonville,Health Act Breach,New Zealand,4,Wellington Area
Written Warning,Wellington,28,1,COVID-19,Kilbirnie,Health Act Breach,New Zealand,4,Wellington Area
Written Warning,Wellington,53,1,COVID-19,Wellington Central,Health Act Breach,New Zealand,4,Wellington Area
Youth Referral,Auckland City,4,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,4,Auckland Central Area
Youth Referral,Auckland City,3,1,COVID-19,Waiheke Island,Health Act Breach,New Zealand,4,Auckland Central Area
Youth Referral,Auckland City,1,1,COVID-19,Glen Innes,Health Act Breach,New Zealand,4,Auckland East Area
Youth Referral,Auckland City,1,1,COVID-19,Newmarket,Health Act Breach,New Zealand,4,Auckland East Area
Youth Referral,Auckland City,1,1,COVID-19,Onehunga,Health Act Breach,New Zealand,4,Auckland East Area
Youth Referral,Auckland City,2,1,COVID-19,Avondale,Health Act Breach,New Zealand,4,Auckland West Area
Youth Referral,Auckland City,4,1,COVID-19,Balmoral,Health Act Breach,New Zealand,4,Auckland West Area
Youth Referral,Auckland City,1,1,COVID-19,Ponsonby,Health Act Breach,New Zealand,4,Auckland West Area
Youth Referral,Bay Of Plenty,2,1,COVID-19,Opotiki,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Youth Referral,Bay Of Plenty,3,1,COVID-19,Whakatane,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Youth Referral,Bay Of Plenty,2,1,COVID-19,Taupo,Health Act Breach,New Zealand,4,Taupo Area
Youth Referral,Bay Of Plenty,2,1,COVID-19,Tokoroa,Health Act Breach,New Zealand,4,Taupo Area
Youth Referral,Bay Of Plenty,1,1,COVID-19,Katikati,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Youth Referral,Bay Of Plenty,2,1,COVID-19,Papamoa,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Youth Referral,Bay Of Plenty,3,1,COVID-19,Tauranga,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Youth Referral,Bay Of Plenty,1,1,COVID-19,Tauranga South,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Youth Referral,Canterbury,1,1,COVID-19,Christchurch South,Health Act Breach,New Zealand,4,Canterbury Metro Area
Youth Referral,Canterbury,1,1,COVID-19,New Brighton,Health Act Breach,New Zealand,4,Canterbury Metro Area
Youth Referral,Canterbury,3,1,COVID-19,Papanui,Health Act Breach,New Zealand,4,Canterbury Metro Area
Youth Referral,Canterbury,5,1,COVID-19,Rangiora,Health Act Breach,New Zealand,4,Canterbury Rural Area
Youth Referral,Canterbury,1,1,COVID-19,Temuka,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Youth Referral,Canterbury,2,1,COVID-19,Ashburton,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Youth Referral,Canterbury,2,1,COVID-19,Geraldine,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Youth Referral,Central,4,1,COVID-19,Levin,Health Act Breach,New Zealand,4,Manawatu Area
Youth Referral,Central,1,1,COVID-19,Opunake,Health Act Breach,New Zealand,4,Taranaki Area
Youth Referral,Central,2,1,COVID-19,Hawera,Health Act Breach,New Zealand,4,Taranaki Area
Youth Referral,Central,2,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,4,Taranaki Area
Youth Referral,Central,1,1,COVID-19,Waiouru,Health Act Breach,New Zealand,4,Whanganui Area
Youth Referral,Central,4,1,COVID-19,Whanganui,Health Act Breach,New Zealand,4,Whanganui Area
Youth Referral,Counties/Manukau,18,1,COVID-19,Manurewa,Health Act Breach,New Zealand,4,Counties Manukau Central Area
Youth Referral,Counties/Manukau,2,1,COVID-19,Howick,Health Act Breach,New Zealand,4,Counties Manukau East Area
Youth Referral,Counties/Manukau,4,1,COVID-19,Otara,Health Act Breach,New Zealand,4,Counties Manukau East Area
Youth Referral,Counties/Manukau,1,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,4,Counties Manukau South Area
Youth Referral,Counties/Manukau,4,1,COVID-19,Waiuku,Health Act Breach,New Zealand,4,Counties Manukau South Area
Youth Referral,Counties/Manukau,6,1,COVID-19,Papakura,Health Act Breach,New Zealand,4,Counties Manukau South Area
Youth Referral,Counties/Manukau,1,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,4,Counties Manukau West Area
Youth Referral,Counties/Manukau,5,1,COVID-19,Papatoetoe,Health Act Breach,New Zealand,4,Counties Manukau West Area
Youth Referral,Counties/Manukau,7,1,COVID-19,Mangere,Health Act Breach,New Zealand,4,Counties Manukau West Area
Youth Referral,Eastern,1,1,COVID-19,Napier,Health Act Breach,New Zealand,4,Hawkes Bay Area
Youth Referral,Eastern,1,1,COVID-19,Waipukurau,Health Act Breach,New Zealand,4,Hawkes Bay Area
Youth Referral,Eastern,2,1,COVID-19,Hastings,Health Act Breach,New Zealand,4,Hawkes Bay Area
Youth Referral,Eastern,3,1,COVID-19,Flaxmere,Health Act Breach,New Zealand,4,Hawkes Bay Area
Youth Referral,Eastern,2,1,COVID-19,Manutuke,Health Act Breach,New Zealand,4,Tairawhiti Area
Youth Referral,Eastern,4,1,COVID-19,Gisborne,Health Act Breach,New Zealand,4,Tairawhiti Area
Youth Referral,Eastern,5,1,COVID-19,Wairoa,Health Act Breach,New Zealand,4,Tairawhiti Area
Youth Referral,Northland,1,1,COVID-19,Kaitaia,Health Act Breach,New Zealand,4,Far North Area
